Real,K-AGRUED,LSTM,GRUED,SVR,ARIMA
6380,6361.39,6429.45,6267.19,6304.92,6205.05
6344,6338.77,6409.31,6250.52,6293.8,6195.25
7044,6487.27,6485.03,6408.29,6267.03,5983.13
7078,7014.56,7076.44,6803.65,6892.37,6684.72
7242,7081.09,7130.56,6866.51,6927.83,6676.85
7125,7170.24,7247.64,6928.97,7074.79,6859.91
7064,7072.27,7145.61,6854.29,6979.78,6766.82
6855,6976.86,7066.17,6772.32,6932.08,6761.77
6370,6703.82,6822.59,6539.75,6753.46,6681
6100,6274.28,6374.12,6204.19,6322.04,6251.58
6353,6132.08,6181.04,6116.34,6078.35,5896.35
5951,6224.77,6339.37,6161.7,6313.09,6270.9
6598,6079.35,6090.62,6095.73,5946.07,5669.87
5827,6379.22,6531.61,6273.7,6541.53,6557.77
6308,5911.62,5941.06,5954.58,5834.83,5602.54
6705,6379.83,6417.69,6332.34,6281.45,6033.22
7573,6896.31,6887.01,6777.27,6645.41,6228.37
6659,7293.6,7460.74,7029.77,7407.8,7265.67
6541,6604.07,6695.19,6497.34,6607.19,6438.1
6437,6489.47,6580.22,6405.89,6500.83,6342.26
7018,6556.11,6579.29,6493.06,6406.17,6087.63
6676,6902.91,7018.6,6739.94,6933.7,6753.66
6995,6729.85,6780.73,6627.78,6626.07,6336.94
6785,6912.88,7017.4,6758.27,6914.54,6701.27
6485,6682.91,6797.49,6565.87,6725.41,6570.32
6712,6514.82,6577.48,6451.24,6450.05,6207.38
6551,6644.34,6746.85,6543.48,6657.97,6477.57
6706,6562.2,6633.82,6490.38,6509.04,6273.61
5998,6500.59,6659.65,6404.31,6650.35,6605.94
5966,5956.65,6047.35,5981.94,5989.12,5863.74
7286,6261.93,6217.96,6293.28,5956.57,5496.51
7320,7251.62,7340.74,7069.25,7168.45,6819.81
6676,7113.79,7272,6928.75,7196.77,7008.57
6836,6684.2,6761.05,6601.12,6612.52,6355.28
6907,6819.36,6906.76,6712.65,6756.8,6493.32
7237,6952.9,7015.77,6837,6818.72,6476.97
6513,7009.24,7180.15,6845.93,7113.52,6963.14
6654,6513.59,6595.09,6461.69,6447.78,6225.39
7334,6787.42,6816.86,6715.08,6575.02,6195.93
6945,7181.71,7323.44,7011.48,7189.74,6932.49
6677,6834.21,6962.58,6721.65,6834.76,6638.94
6552,6605.27,6718.24,6533.44,6582.92,6406.06
6056,6387.59,6537.44,6335.24,6461.32,6401.34
5742,5937.94,6065.32,5958.68,5988.14,5953.73
6545,5902.7,5915.57,5968.3,5684.26,5401.9
5751,6302.21,6484.41,6253.71,6437.99,6461.85
6053,5785.82,5811.66,5794.54,5625.19,5539.98
6212,6051.23,6093.04,5998.65,5899.98,5841.22
6777,6311.51,6313.46,6228.16,6048.9,5877.32
6715,6712.36,6775.94,6517.17,6551.11,6486.97
6790,6687.53,6738.31,6507.02,6506.92,6408.66
6939,6780.71,6824.31,6587.98,6580.97,6449.71
6198,6704.61,6836.93,6485.64,6718.34,6784.82
6621,6265.74,6285.26,6196.91,6077.63,5915.21
6453,6539.42,6617.44,6387.28,6459.43,6407.36
6626,6459.24,6504.48,6343.01,6319.13,6191.61
6599,6581.79,6647,6433.42,6479.33,6380.27
6465,6529.33,6606.04,6388.65,6462.87,6387.93
6582,6459.8,6512.64,6348.01,6351.06,6221.05
6745,6588.59,6637.05,6455.89,6461.61,6303.8
6484,6644.88,6735.68,6482.8,6612.15,6536.67
5828,6287.85,6420.02,6178.96,6386.93,6433.98
6597,5982.87,5974.7,6008.23,5799.08,5526.74
6405,6518,6604.75,6391.41,6499.23,6409.33
6264,6339.43,6422.55,6252.53,6332.39,6245.03
7291,6490.01,6457.49,6432.98,6209.63,5838.38
7027,7181.49,7274.15,6934.29,7122.35,6929.68
6902,6961.81,7042.92,6763.93,6899.84,6714.75
6684,6816.84,6908.69,6644.13,6794.97,6648.63
6480,6605.28,6697.46,6475.29,6605.51,6482.74
6716,6511.79,6561.46,6422.51,6425.41,6213.71
6758,6699.48,6768.56,6567.87,6641.6,6445.55
6498,6666.07,6766.02,6528.88,6682.56,6552.5
6238,6406.75,6508.32,6319.92,6450.81,6351.58
6272,6218.09,6291.63,6182.21,6215.14,6066.61
6263,6241.91,6320.43,6201.2,6248.33,6105.08
6263,6235.13,6313.53,6197.73,6241.67,6094.83
6165,6210.69,6299.64,6174.84,6243.01,6118.66
6267,6161.32,6231.14,6145.23,6153.33,5986.24
5886,6143.99,6262.74,6110.42,6248.6,6191.04
6335,5964.06,6000.75,6002.18,5894.22,5658.53
6720,6404.11,6447.75,6361.09,6312.41,6053.18
6729,6696.17,6778.03,6586.43,6666.13,6447.71
6479,6640.12,6748.78,6530.75,6674.53,6517.71
6140,6367.6,6486.03,6303.51,6445.12,6345.72
5740,6009.7,6134.76,6006.76,6129.11,6082.71
5929,5750.04,5816.39,5818.61,5752.05,5587.92
6230,5970.25,6026.26,6006.18,5928.21,5724.25
5813,6095.72,6224.77,6080.26,6209.01,6157.17
5507,5700.29,5817.94,5757.3,5814.72,5771.58
6350,5676.79,5679.35,5785.79,5523.47,5209.6
6159,6271.86,6380.89,6239.37,6314.82,6193.02
5546,5973.31,6124.57,5973.55,6132.96,6139.68
5795,5568.03,5631.33,5669.65,5550.75,5388.26
5899,5783.7,5862.9,5844.65,5782.64,5644.36
6374,5981.36,6024.46,6025.58,5877.36,5640.38
5838,6206.33,6353.85,6175.16,6321.58,6287.46
6311,5918.66,5962.61,5972.65,5811.42,5583.74
5941,6183.11,6315.13,6163.52,6254.27,6190.47
5890,5890.66,5988.67,5928.59,5899.97,5799.59
6221,5934.45,5994.34,5980.07,5846.71,5657.91
6323,6208.53,6294.71,6204.45,6155.17,5991.77
6069,6220.45,6343.89,6201.74,6246.21,6160.98
5552,5900.19,6048,5919.03,6000.46,6015.41
5922,5604.74,5659.09,5697.19,5504.14,5341.6
5824,5856.79,5962.06,5896.35,5849.11,5781.03
5740,5762.04,5826.81,5755.32,5689.47,5700.55
5400,5614.44,5705.25,5627.83,5623.78,5694.05
5287,5331.79,5398.72,5419.21,5331.63,5337.64
5630,5332.71,5354.14,5445.95,5239.18,5125.04
5733,5615.23,5663.75,5658.57,5549.44,5494.74
6087,5781.32,5805.94,5805.13,5648.28,5526.01
5896,6000.52,6080.85,5952.42,5971.22,5972.44
6006,5884.52,5935.42,5878.43,5808.06,5735.14
6155,6005.25,6053.03,5978.37,5913.51,5823
6081,6099.69,6170.36,6044.15,6053.84,6007.94
5971,6016.88,6091.96,5978.72,5994.32,5956.28
6023,5946.97,6006.67,5933.58,5901.76,5823.26
6393,6079.34,6107.93,6057.25,5954.71,5790.37
6085,6282.42,6378.7,6187.24,6293.36,6270.93
6325,6110.28,6153.25,6079.48,6022.25,5879.1
6117,6240.58,6328.49,6163.31,6244.38,6193.33
6304,6130.22,6179.88,6096.83,6061.88,5922.18
6137,6230.85,6316.17,6161.9,6236.23,6168.15
6772,6263.26,6269.54,6229.65,6089.71,5829.19
5894,6521.6,6677.67,6366.06,6665.46,6716.32
6505,6011.26,6021.83,6029.92,5876.01,5627.66
5995,6349.07,6470.97,6248.9,6436.42,6419.34
5964,5953.92,6030.01,5955.63,5975.67,5876.89
6017,5943.6,6012.07,5953.02,5950.32,5829.41
5883,5950.97,6038.78,5951.5,6002,5922.11
5866,5843.92,5920.96,5872.19,5880.96,5776.65
5458,5728.96,5845.84,5761.89,5867.44,5859.47
5528,5432.25,5502.31,5545.37,5491.1,5375.05
6084,5625.17,5647.31,5725.65,5557.17,5316.67
6349,6119.61,6171.04,6114.58,6074.72,5878.88
5984,6230.87,6345.62,6177.35,6320.85,6256.65
5857,5919.93,6012.11,5936.49,5984.33,5890.03
6106,5884.46,5939.83,5926.04,5866.68,5684.8
6006,6050.87,6141.66,6047.08,6099.19,5986.11
5900,5947.6,6039.75,5963.52,6006.32,5901.31
5901,5866.31,5948.46,5902.78,5907.18,5781.77
6195,5940.54,5994.05,5977.71,5907.72,5708.32
5719,6046.86,6178.12,6031.82,6182.05,6150.54
5588,5648.7,5745.87,5720.12,5735.2,5651.9
5821,5606.26,5667.49,5701.34,5610.7,5442.41
5652,5743,5845.25,5797.31,5828.28,5748.95
6323,5780.95,5799.52,5865.22,5667.34,5387.6
6107,6239.87,6349.01,6208.43,6295.92,6183.17
5542,5933.9,6078.17,5940.51,6091.66,6089.7
5717,5545.29,5614.72,5648.41,5556.45,5408.21
5597,5649.08,5748.94,5722.78,5718.74,5636.94
6269,5725.37,5746.13,5818.94,5602.29,5330.11
5604,6070.7,6228.32,6053.63,6233.36,6241.52
5508,5540.47,5638.87,5632.34,5601.93,5524.82
5351,5428.29,5532.77,5535.06,5507.37,5451.89
5378,5316.34,5402.11,5446.94,5355.22,5261.66
5640,5402.49,5465.11,5527.96,5376.28,5225.62
5635,5599.4,5690.35,5683.87,5619.3,5526.53
5671,5604.54,5691.69,5689.21,5609.82,5509.78
5580,5608.87,5709.29,5687.5,5638.97,5571.47
6081,5665.48,5706.32,5756.9,5547.56,5340.28
6624,6177.91,6219.29,6194.92,6017.39,5762.94
6214,6479,6621.86,6417.27,6523.27,6431.73
6212,6172.85,6271.3,6170.87,6132.05,6004.33
6495,6241.14,6311.71,6239.69,6124.17,5928.82
6375,6417.84,6486.62,6271.46,6277.75,6273.02
5793,6185.3,6301.14,6065.89,6182.79,6295.27
5212,5607.25,5723.17,5611.75,5678.71,5804.07
5601,5269.6,5285.77,5398.47,5173.35,5046.29
5985,5656.42,5676.71,5705.87,5523.68,5398.67
6412,6052.34,6070.14,6023.27,5872.75,5727.92
5848,6231.44,6348.54,6116.5,6259.36,6335.68
6020,5851.75,5896.4,5855.69,5765.11,5677.72
5633,5885.32,5986.7,5855.53,5926.04,5969.03
5338,5518.65,5611.18,5571.56,5585.25,5608.75
5163,5251.17,5331.55,5367.13,5326.15,5315.56
5275,5146.7,5198.47,5300.11,5174.65,5087.4
6067,5428.84,5414.12,5560.98,5279.49,5020.02
5633,5923.17,6032.84,5894.06,6000.31,6030.72
5852,5647.26,5692.49,5709.18,5612.3,5488.69
5393,5700,5813.87,5718.71,5816.16,5853.61
5240,5310.85,5394.57,5424.85,5403.04,5367.9
5015,5137.85,5229.27,5283.94,5267.92,5248.04
5292,5036.38,5077.79,5228.02,5067.95,4919.31
5493,5296.58,5347.25,5434.62,5321.51,5190.12
5794,5525.58,5567.3,5624.7,5508.16,5347.97
5861,5773.65,5839.47,5813.87,5787.69,5676.34
5946,5846.54,5911.23,5874.88,5852.49,5731.27
5535,5809.27,5924.18,5822.26,5933.75,5929.79
5250,5421.89,5525.27,5517.28,5557.17,5533.7
5636,5299.66,5336.6,5451.33,5296.52,5107.03
5161,5477.51,5601.3,5555.26,5654.43,5672.11
5296,5146.63,5210.11,5316.36,5217.18,5088.15
5110,5203.37,5299.73,5348.08,5342.35,5291.28
5028,5040.81,5127.4,5220.72,5171.62,5094.99
5516,5100.58,5130.82,5295.66,5096.61,4877.1
5268,5412.11,5516.66,5517,5548.2,5505.39
5218,5209.2,5294.61,5360.61,5317.76,5229.46
4846,5078.07,5196.31,5238.76,5271.1,5263.45
5266,4901.47,4941.06,5127.86,4928.34,4725.4
5043,5164.32,5268.83,5316.4,5314.34,5268.29
5243,5044.74,5107.49,5236.04,5106.63,4957.47
5098,5160.86,5258.66,5316.84,5290.7,5225.63
4888,4998.25,5103.03,5179.14,5154.48,5107.96
5361,4958.49,4995.45,5174.16,4959,4744.28
5234,5285.61,5383.16,5420.4,5395.9,5325.29
4648,5042.47,5186.27,5198.65,5274.99,5322.6
5064,4707.8,4751.87,4958.28,4733.22,4537.98
5444,5113.41,5161.29,5296.42,5111.6,4922.52
5087,5312.94,5435.37,5432.48,5464.15,5452.51
5010,5023.18,5117.43,5200.46,5126.9,5054.75
5153,5001.63,5074.09,5189.92,5052.05,4927.67
4764,5012.34,5138.43,5176.97,5181.48,5189.94
4727,4713.9,4804.72,4936.39,4818.3,4745.52
5039,4765.68,4821.76,4991.59,4780.54,4623.17
4914,4966.07,5066.15,5144.19,5063.37,5014.39
5364,4986.48,5028.97,5181.29,4943.26,4754.69
5059,5246.96,5366.43,5373.52,5358.52,5352.76
5386,5101.01,5156.23,5271.16,5068.13,4914.27
5332,5332.29,5427.15,5453.29,5369.46,5306.13
5098,5233.64,5346.32,5361.22,5313.39,5300.08
5013,5038.82,5135.41,5197.84,5088.82,5047.3
4999,4973.45,5062.52,5142.01,5004.24,4949.95
5132,4997.32,5071.52,5165.48,4985.5,4898.51
5000,5062.82,5164.1,5211.09,5103.13,5084.29
5080,4985.63,5026.94,5151.97,4969.48,4926.88
4804,4974.3,5053.39,5126.32,5045.17,5089.47
4595,4718.97,4789.03,4929.28,4813.91,4832.12
4293,4491.31,4568.93,4744.78,4642.11,4678.06
4530,4335.65,4355.8,4647.85,4395.94,4296.87
4550,4505.89,4553.23,4775.32,4596.95,4546.01
4914,4609.66,4624.33,4876.85,4618.23,4478.18
4871,4862.77,4923.8,5060.12,4935.7,4896.9
4645,4773.58,4853.67,4981.15,4903.04,4906.22
4513,4573.98,4643.56,4827.31,4711.7,4686.77
4692,4522.08,4560.38,4801.77,4602.53,4497.49
4780,4672.83,4723.45,4919.69,4759.91,4674.49
5370,4884.07,4886.47,5115.12,4840.19,4626.9
4986,5230.38,5334.52,5344.65,5369.56,5401.33
4833,4901.65,4981.97,5094.7,5029.27,4997.83
5400,4928.59,4937.06,5152.69,4896.91,4681.93
4969,5248.45,5359.98,5361.03,5409.4,5443.74
4838,4888.66,4969.72,5088.32,5023.87,4979.3
4444,4691.63,4799.38,4917.45,4909.69,4928.14
4693,4463.77,4506.03,4762.93,4566.2,4424.32
4970,4714.48,4756.49,4968.83,4785.39,4632.24
4514,4807,4924.35,5009.75,5034.61,5062.89
4728,4521.64,4571.19,4809.03,4631,4491.84
4713,4675.04,4749.37,4924.04,4820.93,4735.76
4549,4622.64,4712.76,4874.58,4808.66,4759.41
3878,4333.72,4474.97,4614.93,4664.15,4741.83
4518,4019.72,4028.1,4408.88,4093.84,3870.34
4301,4416.46,4514.1,4702.59,4637.49,4600.07
4699,4358.98,4395.5,4680.91,4448.15,4261.09
4619,4629.24,4715.24,4883.31,4798.31,4723.11
4345,4501.6,4607.69,4769.14,4726.53,4699.97
4199,4265.66,4359.42,4578.02,4484.41,4430.44
4254,4175.58,4249.95,4509.81,4357.27,4257.64
4177,4195.59,4284.05,4520.1,4403.3,4334.46
4373,4190.46,4252.43,4525.35,4335.62,4201.43
4689,4409.52,4460.2,4712.95,4503.85,4333.33
4462,4584.13,4689.62,4835.55,4783.41,4743.77
4322,4383.12,4480.62,4669.94,4578.69,4520.89
4335,4286.11,4369.07,4592.91,4453.47,4361.28
4614,4365.87,4422.78,4669.01,4462.54,4304.17
4574,4558.93,4647.82,4817.69,4707.81,4624.79
4733,4570.07,4639.54,4833.55,4669.35,4538.12
4765,4695.72,4778.11,4932.95,4810.22,4710.09
5025,4785.1,4845.01,5015.87,4836.48,4680.37
5189,5020.79,5090.58,5209.08,5072.5,4939.31
4365,4938.91,5107.98,5099.79,5221.96,5334.93
4374,4334.15,4420.79,4618.34,4467.79,4385.16
5161,4538.55,4547.58,4819.03,4472,4196.57
4537,4962.09,5111.93,5124.32,5185.19,5254.32
4375,4461.47,4565.23,4714.39,4608.93,4572.21
4998,4502.58,4528.42,4774.97,4460.68,4232.88
4718,4887.25,5002.87,5069.79,5020.92,5013.87
4518,4632.06,4739.51,4852.58,4759.09,4737.72
4573,4502.64,4584.84,4747.61,4573.92,4493.9
4727,4582,4654.1,4816.9,4618.27,4515.92
5274,4831.2,4863.77,5042.99,4752.37,4553.58
5065,5182.49,5292.41,5316.87,5253.45,5239.04
4712,4939.96,5063.16,5101.48,5052.52,5082.22
4575,4649.59,4750.04,4854.98,4722.23,4705.48
4936,4643.43,4693.81,4862.7,4592.8,4456.6
4854,4882.39,4939.02,5061.83,4914.56,4910.98
5217,4912.15,4924.4,5110.36,4850.7,4730.4
5290,5196.26,5243.03,5322,5171.09,5127.16
5376,5271.44,5318.6,5384.07,5241.82,5191.98
4868,5208.24,5316.43,5304.96,5324.31,5420.25
5153,4901.47,4926.79,5104.59,4885.47,4770.7
4939,5058.09,5137.24,5205.05,5139.88,5151.06
5058,4927.99,4973.07,5120.32,4957.51,4878.57
4610,4903.56,5007.5,5073.5,5066.98,5128.19
4674,4588.84,4638.42,4848.88,4681.67,4607.73
4668,4632.72,4691.3,4881.79,4740.59,4681.38
4776,4654.29,4702.67,4905.76,4739.13,4648.66
4559,4678.37,4761.44,4910.19,4836.7,4825.14
4853,4592.16,4623.42,4866.45,4651.65,4509.83
4350,4681.61,4796.12,4900.77,4911.35,4966.47
4479,4346.32,4394.69,4660.32,4478.24,4376.21
4789,4515.4,4548.15,4806.83,4590.62,4438.79
4780,4739.69,4807.64,4974.06,4863.7,4787.95
4710,4714.95,4790.02,4951.81,4858.21,4795.56
4828,4692.04,4748.99,4942.71,4798.5,4686.9
5151,4860.04,4898.05,5089.14,4905.25,4740.44
4991,5063.31,5151.51,5231.1,5198.48,5153.01
4885,4915.35,4998.65,5114.72,5055.48,4994.47
4732,4797.05,4885.66,5016.98,4961.49,4910.54
4430,4607,4710.98,4855.49,4825.6,4810.76
4851,4490.31,4521.93,4792.12,4559.96,4366.6
5087,4859.8,4912.01,5086.87,4934.1,4781.88
5069,5033.54,5112.26,5217.15,5149.36,5058.91
5008,5004.6,5088.35,5191.87,5133.56,5052.84
4810,4908.86,5006.98,5107.53,5078.16,5031.01
5326,4888.8,4916.09,5123.05,4898.11,4672.59
5388,5296.05,5369.63,5436.46,5371.56,5255.13
5174,5290.23,5392.05,5419.5,5429.21,5379.98
4857,5047.23,5159.96,5215.89,5230.37,5209.45
4771,4785.97,4876.16,5010.46,4938.36,4861.85
5322,4859.69,4886.78,5098.25,4859.02,4623.93
4999,5196.33,5311.41,5338.39,5365.52,5343.46
5120,4981,5052.18,5179.41,5064.64,4935.9
4578,4937.45,5075.43,5114.54,5174.87,5211.1
5025,4644.64,4684.4,4910.47,4677.84,4472.67
4642,4882.21,5005.2,5074.23,5083.01,5081.86
4546,4573.17,4668.06,4826.1,4730.51,4662.17
4443,4477.9,4574.02,4744.01,4641.52,4577.36
5294,4616.87,4618.17,4896.5,4546.79,4247.2
5259,5241.7,5331.66,5386.16,5323.28,5235.33
5162,5191.18,5287.64,5340.69,5287.43,5217.25
4975,5071.43,5177.06,5235.69,5193.43,5149.33
4989,4935.07,5020.64,5127.43,5016.05,4926.27
5175,4992.68,5061.26,5181.43,5025.21,4894.38
5286,5160.34,5236.94,5319.21,5194.3,5081.66
4942,5158.31,5280.94,5298.93,5294.12,5295.13
4572,4809.2,4933.73,4999.94,4969.1,4985.22
4951,4634.53,4684.24,4875.04,4627.08,4462.47
4911,4902.28,4993.93,5087.88,4968,4907.32
4704,4821.96,4930.22,5011.1,4926.08,4910.75
4776,4690.04,4770.11,4904.89,4731.46,4651.62
4948,4786.48,4856.46,4989.15,4791.69,4689.71
5175,4969.76,5034.49,5147.05,4944.1,4830.37
5241,5154.1,5235.93,5298.65,5149.27,5076.03
4539,5027.96,5186.99,5161.68,5205.03,5326.24
5294,4707.05,4673.52,4965.59,4579.59,4361.23
5418,5286.12,5327.46,5393.6,5231.48,5180.58
5120,5303.48,5389.05,5387.12,5347.47,5400.02
4891,5023.79,5100.89,5171.73,5092.89,5118.47
4592,4779.21,4861.96,4975.87,4899.93,4934.97
4482,4533.28,4594.53,4790.8,4649.26,4630.77
4402,4433.08,4491.17,4713.2,4560.94,4532.23
4984,4520.19,4512.39,4816.74,4497.94,4301.73
4899,4920.73,4987.76,5105.65,5001.89,4971.3
4739,4816.86,4891.78,5020.39,4932.1,4915.99
5274,4831.76,4836.89,5068.24,4796.86,4602.65
4720,5091.69,5210.62,5222.45,5273.86,5354.14
5039,4757.15,4786.15,4999.81,4787.83,4642.04
5015,4987.45,5054.14,5168.7,5072.69,5012.2
5640,5125.15,5127.83,5312.45,5055.1,4829.39
4967,5431.4,5566.65,5493.54,5623.34,5719.23
4901,4903.37,4976.93,5102.41,5019.07,4960.63
5178,4922.68,4962.63,5135.54,4963.15,4816.26
5489,5208.98,5247.53,5368.56,5214.99,5058.45
4826,5280.53,5417.86,5379.19,5501.31,5584.74
4820,4775.79,4846.7,5005.28,4903.47,4820.9
5033,4824.19,4874.15,5055.37,4900,4760.87
4739,4910.6,5012.8,5101.94,5093.48,5079.52
4696,4678.96,4756.13,4925.94,4830.73,4752.52
4792,4670.78,4734.85,4925.8,4793.53,4679.36
4969,4786.27,4843.4,5023.97,4880.22,4744.11
5458,5041.39,5068.5,5246.7,5040.93,4825.22
5252,5363.25,5460.91,5476.37,5491.1,5444.05
4902,5117.67,5230.42,5270.69,5301.74,5292.12
5071,4894.05,4955.39,5112,4981.55,4843.05
4934,4987.71,5080.48,5174.95,5136.04,5072.56
5176,4944.58,5000.06,5156.57,5010.54,4852.38
5223,5140.12,5215.83,5308.37,5232.59,5121.09
5070,5137.89,5234.23,5297.67,5275.74,5213.28
5197,5053.25,5122.17,5240.44,5133.65,5002.45
5334,5184.36,5252.86,5348.79,5250.24,5115.16
5379,5300.52,5378.81,5440.44,5376.72,5262.42
5144,5276.4,5383.24,5408.32,5417.58,5372.39
4714,4989.68,5116.47,5162.63,5197.14,5205.08
4887,4710.32,4777.37,4954.48,4800.39,4662.16
5053,4881.21,4949.31,5096.1,4955.91,4818.77
5571,5136,5169.32,5322.56,5106.63,4880.85
5253,5451.36,5569.22,5549.74,5588.89,5560.69
5191,5193.25,5285.48,5345.12,5287.72,5206.11
5102,5124.3,5219.53,5285.69,5226.92,5154.58
5029,5039.23,5133.09,5214.11,5140.85,5067.49
5116,5006.62,5084.69,5191.93,5069.67,4959.05
5116,5072.5,5159.62,5242.94,5146.98,5058.8
5124,5075.01,5161.57,5244.23,5143.2,5055.11
4714,4979.05,5107.63,5145.75,5146.68,5165.21
5157,4786.7,4829.77,5012.33,4764.48,4576.96
4666,4992.85,5129.96,5151.8,5168.9,5212.12
5129,4747,4788.18,4974.7,4711.89,4525.27
5145,5092.84,5179.38,5252.86,5133.35,5056.07
5444,5180.11,5238.48,5336.15,5143.27,4998.08
5605,5444.29,5518.18,5555.63,5418.96,5302.93
4978,5408.49,5562.58,5495.39,5565.82,5642.5
5573,5091.25,5119.29,5264.52,4971.83,4765.75
5063,5405.69,5548.23,5495.19,5524.02,5580.39
4450,4874.62,5023.61,5032.01,5038.91,5141.52
5048,4582.9,4563.37,4858.54,4506.1,4327.15
5023,5005.5,5059.11,5164.12,5017.47,4998.29
4588,4877.34,4972.83,5043.2,5002.26,5081.15
5245,4724.31,4705.92,4979.13,4636.22,4432.4
5144,5179.28,5245.79,5303.34,5208.78,5200.87
4845,5028.57,5115.08,5175.51,5126.14,5162.09
4299,4669.99,4779.39,4879.47,4870.74,4960.05
4457,4315.98,4348.99,4631.44,4412.39,4324.25
4661,4476.96,4509.23,4764.62,4547.86,4442.59
4960,4697.36,4724.02,4947.61,4725.46,4592.81
5284,4997.58,5025.74,5190.43,4990.15,4850.68
5028,5176.25,5265.43,5304.96,5282.82,5288.68
4909,4953.26,5028.36,5135.37,5058.87,5024.91
5391,4984.21,4999.51,5191.24,4957.31,4769.2
5786,5446.15,5473.34,5557.66,5392.99,5226.87
5630,5708.81,5792.39,5741.03,5756.14,5719.76
4889,5404.3,5547.13,5470.09,5618.66,5728.44
4702,4794.7,4880.99,5009.89,4952.46,4921.52
4979,4724.43,4764.36,4975.97,4789.31,4639.96
5418,5040.4,5066.43,5239.91,5038.22,4846.75
