Real,K-AGRUED,GRUED,LSTM,ARIMA
20,21.1786,27.1512,26.1074,25.3874
23,18.457,24.8307,22.4115,20.8226
30,20.0589,26.3073,23.158,20.8132
17,21.7771,28.606,27.5471,28.0464
17,18.6454,24.7234,23.6721,23.5205
21,15.3562,22.1741,19.2657,18.0638
33,18.679,25.0141,21.1472,18.621
29,24.0774,30.5817,28.2694,27.7479
31,26.2987,31.6911,30.4384,29.9798
22,24.5522,30.7581,30.0227,31.0538
18,20.8804,26.9873,26.3576,27.3596
26,17.7737,24.0869,21.3671,20.5368
32,20.6019,27.1304,23.81,22.789
32,25.4452,31.4657,29.4296,29.4953
36,27.818,33.1521,31.4738,31.3608
20,27.0457,33.2424,33.3873,36.2266
32,23.4798,28.5139,27.0518,26.7495
13,20.6318,28.1614,27.3202,30.545
15,16.9078,22.9741,22.3311,23.9572
21,12.7932,20.0626,16.8607,17.2955
17,15.1155,22.6277,20.3227,22.1002
31,17.4402,23.6792,20.4581,20.0809
17,19.7037,27.3488,25.7447,28.8634
19,18.6043,24.6796,23.8408,25.8399
24,15.8224,22.8274,20.0144,21.1615
38,20.5019,26.8016,23.0467,22.7812
35,27.3644,33.6928,31.4582,33.4638
13,27.0501,33.1887,34.7845,40.434
28,19.3937,24.6472,23.2672,24.2002
23,17.8218,25.5614,22.8499,25.6166
24,20.5903,26.8785,25.5938,28.2375
27,19.855,26.457,24.3445,26.6294
32,22.1059,28.4617,26.1039,28.1191
37,25.831,31.7932,29.5096,31.5566
29,28.2541,34.2501,33.593,37.7204
41,28.2003,33.0334,31.4769,33.1248
23,28.0585,34.7119,34.4442,40.0996
18,23.4231,28.9636,29.97,34.6796
24,16.6814,23.3621,21.435,24.404
30,18.3803,25.3972,22.5397,25.2847
22,21.5264,28.5805,27.4298,32.2701
21,19.9186,26.3003,25.6812,29.9917
37,19.3448,25.6174,22.4598,24.2622
17,22.6467,30.4348,29.6906,36.3993
24,20.3886,25.9149,25.6902,29.4083
40,19.2769,25.9976,22.1274,24.12
26,26.1246,33.2765,32.0991,38.2517
33,26.2563,31.3048,30.927,34.7327
31,24.4436,31.0688,29.4311,34.2453
14,23.2369,30.0194,30.8686,38.217
24,17.0475,23.0816,22.1811,26.1379
50,19.503,26.1305,21.0344,22.2808
35,31.5904,38.4921,36.7208,43.4921
35,33.2143,37.4024,38.4254,43.8991
30,27.7753,33.7166,33.3634,39.3607
48,28.3071,33.2813,30.9995,33.7476
45,33.9873,39.8355,37.7276,43.3042
25,37.8224,42.0747,44.4053,45.0064
22,28.2685,32.92,33.8309,33.2967
33,22.82,28.3405,25.5507,22.2662
20,24.4753,31.0186,29.8613,29.4271
19,22.2371,27.8967,27.2998,26.6057
11,16.7047,23.6772,22.3921,22.3426
13,13.4903,20.2957,18.2691,17.3687
20,12.8511,19.9146,16.5528,14.5822
15,15.4584,22.8043,20.489,20.0331
23,16.7672,23.1294,20.4644,18.8162
22,18.2724,25.2208,22.5782,21.6881
20,19.9935,26.4473,24.8085,24.6128
36,21.2389,26.9471,23.5007,20.8154
28,26.0485,32.5605,30.5469,30.6033
16,25.7186,31.4976,32.1232,34.0904
17,18.4992,24.686,23.6046,24.0319
5,13.3809,21.0864,20.0179,22.014
6,9.08198,16.3985,14.7886,15.7828
8,6.0404,14.1711,11.3878,12.0279
9,7.21362,15.294,12.5806,13.3732
10,8.32264,16.2478,13.6615,14.557
10,8.97583,16.8703,14.4286,15.5592
12,9.54264,17.2782,14.7465,15.7331
27,12.5304,19.5882,15.65,14.6849
13,17.1028,25.086,23.3496,26.0296
7,15.1352,21.9458,21.7755,24.5851
13,9.28232,16.7195,14.3387,15.5178
15,9.99701,17.9948,15.0936,16.5051
26,14.2944,21.3327,17.9873,18.1611
34,20.594,27.3497,23.844,24.0503
17,24.8868,31.696,31.4411,35.5581
15,19.9068,25.9097,26.0132,28.9288
19,14.3358,21.4657,19.2954,21.1117
17,14.9814,22.4954,20.4879,23.075
19,15.6958,22.7439,20.8909,23.1852
3,13.434,21.5141,21.1473,26.126
27,11.2451,17.534,14.4382,14.51
39,17.5052,25.2561,20.1621,20.5528
20,27.5419,34.2726,34.0792,39.3636
14,22.2701,28.037,29.0839,33.474
24,15.2825,22.008,19.7808,21.7753
22,17.121,24.7416,22.4351,25.7735
27,20.2222,26.6863,24.8874,27.5393
18,20.2943,27.5037,26.5718,31.2055
16,17.782,24.476,24.0012,28.1369
15,13.8771,21.357,20.0023,24.126
22,13.8263,21.1181,18.858,21.9576
19,15.8849,23.6322,21.7767,26.1191
9,15.3681,22.9302,22.7383,28.4263
34,14.0305,20.3268,17.0873,18.1948
34,21.0967,28.9997,25.3758,29.0453
9,25.4894,32.2779,33.8999,41.8474
27,17.6202,23.0433,22.1134,24.5015
34,17.9541,25.7761,22.0288,25.3577
26,25.6726,32.323,31.485,37.0452
28,24.7439,30.5401,30.0727,34.5398
16,21.1689,28.3601,28.2782,34.7999
20,17.3039,23.8524,23.3078,27.9897
12,13.7904,21.9685,21.0886,27.5901
11,11.6116,19.24,18.739,24.7055
15,12.7804,19.6796,17.028,14.5784
31,16.4452,22.6976,18.5585,14.0783
31,24.3262,30.5213,27.5808,24.623
23,28.0032,33.4699,33.0261,32.1859
32,25.9546,30.947,29.1222,26.395
25,26.2537,32.2377,30.7809,29.6291
12,24.0493,30.0132,30.427,31.1863
15,16.9488,23.1333,21.7795,20.7854
14,13.9601,21.1518,18.8591,17.8841
20,15.3556,22.0391,19.3799,17.6638
15,16.7263,23.8442,21.8839,21.5043
21,17.405,23.7372,21.5135,20.1693
22,18.4398,25.1891,22.6884,21.6498
20,20.4124,26.8503,25.1949,24.9154
13,18.8046,25.5109,24.5658,25.3216
16,15.6979,22.3144,20.5502,20.2775
21,15.4396,22.3882,19.6227,18.7563
8,16.4823,23.9527,22.9986,24.7564
10,12.9707,19.7761,18.5291,19.1112
9,9.49792,17.3735,15.1854,15.8823
5,9.08947,17.0103,15.3742,16.7644
8,7.59644,15.3792,13.2473,13.9886
14,8.37,16.2517,13.3047,13.4417
9,10.9444,18.9845,16.9979,18.5442
31,14.0902,20.4747,16.6617,14.738
34,22.0876,29.1182,25.3752,25.0184
19,28.1376,34.134,34.3089,37.47
20,22.7665,28.3762,28.0927,29.6839
20,18.4177,25.2275,23.4713,24.8164
15,17.9507,24.9461,23.8042,26.0473
14,15.6676,22.6433,21.4261,23.4449
17,14.0584,21.2823,19.2761,20.775
13,14.3379,21.9207,20.3412,22.8238
11,13.3059,20.6796,19.4676,22.0481
21,12.6542,19.8297,17.2082,18.1849
22,16.26,23.7796,21.1984,23.0348
46,23.5042,29.0077,25.0539,23.7034
46,34.2971,39.8643,36.9174,38.4509
21,37.9049,42.6106,44.7882,51.0754
13,25.9131,31.0453,33.0359,37.5051
20,15.6516,22.3522,20.7762,22.8658
3,13.3821,21.7755,21.3624,26.723
23,11.6128,18.0439,15.8383,16.8002
8,11.9808,21.1415,19.3934,24.4801
10,12.5613,19.5415,19.1079,22.6735
39,12.806,19.6956,15.0647,14.6583
22,23.2737,31.3402,29.3657,34.447
20,24.9643,30.3993,31.0916,35.1658
11,17.2372,24.5628,24.3663,29.3994
28,15.3015,21.7773,19.4752,21.1737
28,19.4855,27.1392,24.4036,27.8805
27,24.9352,31.0917,30.1829,34.104
18,23.1096,29.7209,29.6989,34.9472
14,18.2583,25.0376,25.0903,29.9945
11,13.1098,20.7696,20.174,25.2667
13,10.7916,18.6588,17.4559,22.1671
21,11.7705,19.5911,17.3692,21.2259
25,16.3557,23.9996,21.7322,25.7688
6,17.869,25.8011,26.3228,33.6798
12,12.0049,18.8721,18.8221,23.4623
7,10.9664,18.4672,16.4911,14.9018
20,12.7309,19.1497,16.1275,12.5799
32,18.2978,24.6169,20.5537,16.0635
19,25.607,31.7517,30.7515,29.8369
11,22.4942,28.2182,28.4665,28.3569
11,15.082,21.618,20.2637,19.0828
12,12.6802,19.7317,17.6364,16.1433
10,12.7585,19.945,18.0986,17.1038
17,13.2656,20.0324,17.4952,15.4545
18,15.6573,22.6171,20.1092,18.5192
7,16.6323,23.6703,22.9162,23.439
17,13.8233,20.1994,18.0591,16.3288
12,13.6846,21.2428,19.1092,18.7073
16,15.3586,21.9476,20.0616,19.0948
37,18.5539,24.5215,20.2867,16.4673
22,26.6721,33.2163,31.7886,32.4024
16,25.7756,31.0774,31.5874,32.6603
13,18.0498,24.5409,23.6216,24.0978
11,14.535,21.5522,20.1905,20.6267
15,13.3003,20.3385,18.2627,17.9683
35,17.2907,23.5531,19.4677,16.5844
13,23.9308,31.13,30.4332,32.9885
10,20.2629,26.0178,26.5536,28.1882
8,11.6825,19.1351,17.7905,18.9443
15,10.8987,18.2299,15.8937,15.901
21,14.0178,21.3297,18.4609,18.2363
20,18.6777,25.5582,23.6295,24.3871
13,19.1097,25.8737,25.1715,27.1678
13,15.7606,22.5432,21.5005,22.902
15,13.7501,21.0068,19.169,20.2519
5,13.0547,20.8569,20.1016,22.9833
20,11.7459,18.5069,16.1384,16.0457
26,15.6071,23.1478,19.7786,20.0795
26,23.1346,29.4728,27.6919,29.023
5,21.8983,28.8141,29.7201,34.485
4,12.7249,19.4768,19.7459,22.5938
11,6.5266,14.6636,12.4828,14.2712
11,9.00946,17.3793,15.2796,17.718
9,10.9782,18.8448,17.5611,20.4254
11,10.4005,18.1535,16.6436,19.1607
9,10.2284,18.3112,16.9004,20.0054
13,10.6112,18.3021,16.6401,19.0961
14,11.7265,19.6327,17.813,20.5768
24,14.9356,22.0188,19.5977,21.0629
20,18.9432,26.2808,24.6422,27.7902
17,20.0274,26.6214,26.1155,29.5196
20,17.8159,24.5823,23.3398,26.043
18,17.7748,24.9591,23.7429,27.1376
8,16.3646,23.7772,23.8054,28.6175
15,12.4455,19.5425,18.4743,21.4051
13,11.7139,19.9665,18.3825,22.4308
8,12.4183,20.2562,19.781,24.4457
10,9.89897,17.7485,16.8265,20.9144
18,10.2128,18.1932,16.0947,19.3589
28,15.7328,23.1792,20.4263,22.9223
17,21.1354,28.503,27.8414,33.0734
14,19.15,25.6783,26.0062,30.6009
30,16.5383,23.2229,20.9005,22.97
11,19.6334,27.7538,27.4178,34.0594
10,16.4947,23.003,23.8596,28.6731
15,13.7459,20.2342,18.0422,15.1054
13,15.2116,21.9163,20.0531,17.8493
6,14.8787,21.6177,20.7504,19.7557
20,13.3673,19.5319,16.846,13.2908
10,15.5222,22.7619,21.1042,19.9437
21,17.3556,23.0746,20.9813,18.0383
17,18.2441,24.9056,22.907,21.1768
5,18.2129,24.7325,24.6542,24.9449
12,12.8624,19.2682,17.6764,15.93
22,13.4082,20.2386,17.0308,14.0756
10,18.1572,25.1308,24.053,24.0374
10,16.1655,22.4204,21.6479,21.096
44,17.3821,22.8056,17.721,11.816
46,32.6529,37.9495,34.1335,30.977
23,40.4673,44.4968,46.2798,48.4352
20,30.6091,34.8728,35.9381,36.4958
19,22.0045,27.8668,26.7733,26.3645
19,20.5746,26.6663,25.2824,24.7904
11,19.021,25.6042,24.9464,25.737
15,16.1321,22.498,21.1344,20.7137
24,16.5598,23.1235,20.3763,18.8586
11,19.8184,26.7718,26.0105,27.494
23,18.846,24.5003,22.7937,21.636
4,16.9413,24.6013,24.1801,26.7398
20,15.0344,20.8915,19.184,18.0232
14,14.7183,22.5013,20.4125,21.276
2,15.5638,22.6451,22.8863,25.4867
10,9.68616,16.761,15.3663,15.727
19,10.3943,18.1271,15.1361,14.7858
0,14.0343,22.0989,21.9242,25.41
10,10.3618,17.0719,16.0704,16.638
28,10.95,18.4952,14.495,13.1657
3,18.3535,26.3495,26.2275,30.4838
9,14.2608,20.4038,20.3776,21.7527
8,8.40071,16.7359,14.9996,16.9781
10,10.2335,17.9403,16.4759,18.2029
8,10.4057,18.3401,17.0634,19.367
10,10.482,18.1418,16.7999,18.7601
7,10.1709,18.1987,17.063,19.7516
10,9.97535,17.6661,16.3465,18.4568
15,10.9499,18.7129,16.738,18.4641
13,13.7622,21.4122,20.0267,22.5867
11,14.2326,21.5433,20.7485,23.5538
9,12.3594,19.9481,19.1583,22.1918
5,10.1913,18.1612,17.5839,21.1685
8,8.23999,16.2228,15.1295,18.089
25,10.6625,18.2317,15.1894,15.9986
24,18.8772,26.3372,24.0633,26.5702
13,22.4789,28.9936,29.305,33.6347
11,16.9527,23.6065,23.7454,27.2729
11,12.357,19.9805,19.1608,22.6509
23,13.4362,20.6672,18.5034,20.3272
17,17.7451,25.3773,24.1075,28.0165
14,18.6623,25.3438,25.2947,29.1474
20,16.1832,23.0924,21.8791,24.655
17,17.3068,24.7063,23.6903,27.6055
22,18.7273,25.3244,24.2868,27.2211
11,18.2317,25.6999,25.6385,30.8358
47,20.44,25.5866,22.1483,20.9191
32,30.6287,37.4857,35.5454,40.6061
12,34.7988,38.9237,41.3447,41.8639
11,21.4291,26.5678,26.643,25.1711
13,14.9284,21.2138,19.605,17.1153
17,16.0405,22.2195,20.2196,17.3554
11,17.5061,23.8689,22.7703,21.2916
8,15.7061,21.9888,21.2373,20.0054
20,14.2481,20.3674,17.903,14.5631
23,18.9068,25.0955,22.5616,19.6989
23,24.1143,29.4913,28.0034,25.9522
33,26.5499,31.2538,29.0086,25.6968
24,29.6486,34.7549,33.9087,32.9501
27,29.1969,33.6054,32.8418,31.1642
11,25.28,31.0584,31.3018,32.0463
18,20.1946,25.4934,24.5511,23.0256
15,17.5977,24.1654,22.6062,21.725
18,18.99,24.9294,23.4897,22.2354
10,18.1019,24.6731,23.9326,24.1592
6,14.9468,21.5304,21.1255,21.4553
18,12.3771,18.9834,16.6931,14.816
24,17.1232,23.7634,20.965,19.1866
15,22.3876,28.5566,27.8328,28.4161
8,19.2641,25.3975,25.4921,26.5714
12,13.8398,20.4486,19.2267,18.9502
13,13.3725,20.5145,18.8128,18.6974
10,14.6534,21.6426,20.5841,21.1946
29,16.4934,22.4745,19.5117,17.1427
13,21.5023,28.486,27.5771,29.3917
9,19.9774,25.8028,26.2095,27.6883
4,12.204,19.4981,19.0541,20.6757
8,9.29763,16.7432,15.495,16.1789
16,10.4965,18.0156,15.7087,15.5876
22,16.18,23.0619,20.6878,20.4777
8,19.4,26.3201,26.1983,28.9109
14,16.0685,22.2351,21.5421,22.215
14,13.9859,21.341,19.7555,20.9097
19,16.7171,23.3243,21.7279,22.3047
11,17.6969,24.7191,24.0961,26.45
7,15.1957,22.0224,21.9711,24.3305
7,10.7463,18.2662,17.5114,19.5815
40,14.312,20.5704,16.2296,13.4702
12,24.8788,32.3559,31.8827,36.5475
16,23.7141,28.5661,29.4178,31.2181
16,16.2091,23.2811,22.0173,23.9452
8,16.3235,23.4635,23.3439,26.5976
28,15.769,21.9138,19.6094,19.2297
26,21.6142,28.5649,26.3917,28.263
18,26.2037,31.8859,32.1192,35.397
12,21.0164,27.1888,27.6269,30.9516
6,14.7344,21.8855,22.1353,25.8005
16,11.5508,18.7476,17.4122,19.2131
7,12.4724,20.7375,20.048,24.1875
3,11.3007,18.8171,19.1727,23.1496
13,7.99634,15.8848,14.484,16.9499
21,12.0827,20.0297,17.6913,19.8689
35,21.1427,27.4108,24.7186,25.4757
30,29.4449,35.1636,34.0723,37.2807
40,33.2546,37.3912,36.3055,37.7357
34,35.2213,39.9538,39.3884,42.9937
43,37.0363,40.6253,39.7963,41.5716
35,37.9424,42.2809,42.06,46.1836
12,35.8637,39.877,42.0942,42.4382
29,25.8685,29.6542,28.2589,24.0093
26,25.6872,30.8304,28.9317,25.6362
25,29.5777,33.8233,33.1143,30.5607
23,27.8719,32.416,31.6326,29.2939
26,27.0891,31.5805,30.3256,27.4522
22,27.181,31.985,31.1345,29.1458
30,27.5164,31.8009,30.1773,26.8929
16,27.7256,32.8925,32.7724,32.2226
19,24.4153,29.0971,28.592,26.8186
46,25.2791,29.4826,25.4231,19.454
31,36.2354,40.6488,39.6504,38.4989
26,36.9417,40.321,41.1383,40.6847
23,29.7103,34.1325,33.8096,32.8133
25,27.0609,31.7274,30.6911,29.0339
37,28.7761,33.0335,30.6739,27.4002
22,32.5723,37.3291,37.2116,37.5086
23,29.7128,33.8803,33.8519,33.1419
59,30.7756,34.0764,29.3755,22.9129
40,44.5271,48.0797,47.188,47.1953
29,44.8427,47.3394,49.4121,50.9065
22,33.522,37.559,38.2335,38.9182
20,26.6306,31.5053,31.222,31.1775
45,27.1903,31.3117,27.9354,23.8182
21,34.2908,39.4279,39.458,41.4883
19,30.9737,34.9769,36.0097,36.8771
10,21.077,27.0823,27.1307,28.4446
24,18.4694,23.9904,22.1906,20.6062
33,23.0606,28.7531,25.8979,24.1687
28,31.0171,35.8268,34.9219,35.3745
25,31.1548,35.5876,35.4619,36.2338
19,27.2769,32.381,32.3622,33.6411
15,22.9651,28.537,28.4731,29.7299
13,18.8535,25.0129,24.5786,25.7
40,20.6385,25.7989,22.3227,19.2408
31,30.8902,36.3525,34.6777,35.7305
24,34.3922,38.4668,39.1764,41.2458
45,31.5274,35.2161,32.8767,30.789
34,37.1322,41.5776,40.6934,42.5443
17,36.1318,40.2366,42.1865,46.1118
40,28.5157,32.3214,30.5114,28.7156
43,33.821,38.4867,35.9821,35.9972
56,44.3881,46.7458,44.8097,44.0875
44,49.134,51.6136,51.6567,54.5499
28,45.2257,47.9919,50.1217,54.5097
45,37.2193,40.0936,39.0206,38.4479
18,35.765,40.8362,41.9282,47.1179
38,31.9801,35.2084,34.6104,34.0028
59,35.3907,39.3389,35.3215,33.4186
33,47.2006,50.5067,51.437,56.7757
17,39.585,42.9053,46.0143,51.162
16,24.2485,29.4461,30.2126,32.8388
48,23.2002,28.1165,24.4593,22.1649
28,34.5077,40.0285,39.4383,43.8133
17,34.0159,38.0921,40.2741,44.6472
45,26.8036,30.9852,28.5753,27.0984
30,33.6411,39.1081,38.3119,42.314
25,35.0891,38.9679,40.2439,43.7983
31,28.8799,33.5975,33.0359,34.8162
23,28.713,34.1809,34.2448,37.9602
14,28.0314,32.3354,32.8123,31.2083
35,24.6056,28.3876,25.8281,20.1874
59,34.8233,37.6568,33.1292,25.228
32,47.8429,50.4682,51.5383,50.5544
46,44.9021,46.3346,46.1805,42.2138
43,42.9115,45.4704,44.4115,40.9385
41,45.2884,47.3831,47.3677,44.7275
58,46.114,47.5426,45.481,40.1176
51,51.8462,53.3625,52.8555,50.0094
56,54.0954,54.7969,54.6492,51.418
24,49.5731,52.0736,54.8689,56.6748
32,38.4735,40.8969,41.4488,39.5053
52,35.3858,38.3002,34.993,29.5567
39,44.8517,47.6221,47.28,46.0383
43,45.4488,47.3425,47.3192,45.3069
37,42.5852,45.3336,45.1759,43.9852
26,39.4432,42.662,43.5674,43.748
26,32.7379,36.4132,36.3317,35.3042
30,29.8654,33.9685,32.7369,30.8005
45,33.9092,37.2275,34.6937,30.9967
36,40.5651,43.863,43.2818,42.6668
53,43.5608,45.4054,43.7171,40.3884
33,45.3968,48.3747,48.9436,50.0712
20,39.5781,42.7435,44.7934,46.6426
32,29.5482,33.3031,32.1449,30.1584
41,32.1444,36.1215,33.7147,31.2527
49,41.2036,43.9118,41.9844,39.7925
60,49.045,50.5685,48.5731,46.0568
37,52.4721,54.4774,55.9005,58.4558
49,47.5198,48.8843,48.7645,47.5851
45,45.5777,48.0951,47.3309,47.2398
62,49.812,50.9456,49.1194,46.6334
41,52.785,54.7607,55.5959,58.0789
42,48.6483,50.2218,51.1424,51.9369
41,42.9871,45.6729,45.2668,45.5693
21,39.8209,43.4795,45.1038,48.4261
42,33.7411,36.6616,35.283,33.1831
38,36.2695,40.3546,38.9067,39.2478
43,41.7297,44.3657,43.6847,43.6307
45,43.021,45.7043,44.7804,44.9685
33,43.564,46.5343,47.2442,49.7514
48,41.1005,43.4149,42.2665,41.2169
37,42.4574,45.7584,45.5515,47.6432
31,41.1618,44.1177,45.059,47.3227
52,38.27,40.9066,38.7801,36.8685
60,47.0008,49.2058,46.7757,46.1206
38,53.1012,55.0008,56.4899,61.0023
75,51.5546,51.6707,49.1087,45.6507
45,56.604,58.4016,59.0133,63.9314
40,53.1435,54.1266,56.3727,59.8467
72,47.5708,48.6439,45.4887,42.4288
76,60.467,60.7381,58.2277,58.5436
65,68.1343,67.1329,67.919,71.6583
19,57.9906,59.4638,64.6386,74.223
53,41.3827,42.5235,41.9789,39.8145
86,47.2707,49.0837,43.4274,39.5478
66,67.7027,67.1951,67.1277,71.5666
39,63.4856,63.4155,67.2888,74.7378
62,51.4626,51.9161,51.203,50.7813
56,52.7359,54.4739,53.4994,56.2749
58,58.0805,58.1235,58.3953,53.932
59,57.5925,57.7521,57.6029,52.9863
41,55.7775,56.757,58.5981,57.0134
60,51.471,51.8624,50.7271,45.0586
33,50.6946,52.6733,54.1906,53.3447
26,43.2499,45.4546,47.2888,46.3443
64,38.0756,39.527,35.3911,27.1012
36,48.7314,51.0791,51.5744,50.3456
39,47.5059,48.9078,49.8963,47.8012
30,39.6578,42.5354,42.713,41.0859
41,38.1783,40.5373,39.3032,35.49
52,42.0303,44.0695,41.7834,37.0216
38,47.9435,49.9993,50.4568,49.3602
37,44.7941,46.7572,47.2191,45.6267
23,38.2355,41.4952,42.3937,42.318
36,33.6097,36.4749,35.2866,32.0314
44,36.3092,39.2928,37.1038,33.4211
45,44.0017,46.1662,45.134,42.6748
53,47.9238,49.3404,48.0711,44.9675
61,52.8262,53.6395,52.0813,48.713
46,55.9922,57.0431,57.941,58.0848
28,49.1488,51.1486,53.5393,55.3883
50,40.5415,42.3347,40.6187,36.769
48,44.6348,46.9822,45.5019,43.5582
44,49.4391,51.0609,51.2362,50.7296
38,46.2608,48.3554,48.7954,48.7938
39,42.6419,44.9766,44.7631,43.916
32,40.2447,43.2007,43.371,43.5454
46,39.5082,41.8406,40.3393,37.8055
36,42.1207,45.0555,44.8291,45.1199
61,45.5762,46.7915,44.4361,40.5335
51,52.0634,53.6875,53.0069,53.0166
29,51.2362,53.145,55.6637,59.063
45,41.5166,43.4216,42.6888,40.8416
46,42.1439,44.8279,43.4052,42.5004
72,51.2023,51.7785,48.7788,44.7838
70,62.0711,61.9851,60.556,59.8986
66,66.7793,65.8834,66.2952,67.2784
70,65.4171,64.5279,64.2086,64.1713
62,64.827,64.3774,64.798,66.3334
47,60.4085,60.788,62.5641,65.7264
55,53.6183,54.3025,54.1098,54.0134
58,53.3727,54.398,53.3808,53.2874
49,55.3888,56.4271,56.9131,58.9481
51,52.7396,53.7664,53.8335,54.6748
51,51.1143,52.5121,52.1472,52.9682
17,46.5447,49.5538,52.7111,58.7953
74,40.2886,40.9202,37.0847,30.4002
57,52.6717,54.7185,53.1504,54.929
57,60.786,60.6299,61.3976,63.4387
65,57.7616,57.9582,56.9354,57.1539
71,61.8784,61.5448,60.2682,60.6841
63,64.9313,64.4434,64.6764,67.4484
54,61.8896,61.8427,62.9727,66.435
72,59.0582,58.7148,57.2286,56.5634
65,62.9287,62.8041,62.2793,64.7118
52,62.5355,62.4793,63.9438,68.2523
52,55.7001,56.3155,56.8845,59.2447
54,52.51,53.646,53.3085,54.9486
54,53.3241,54.4133,54.1621,56.1462
84,59.733,58.5693,55.4727,46.3539
48,66.14,65.894,68.3872,67.0298
46,58.6381,58.7027,61.0117,58.9734
52,50.0069,50.8296,50.0164,45.2086
85,56.9632,56.0831,52.2312,42.9832
28,63.0734,63.8963,68.2483,70.5468
34,49.2486,50.2574,52.5162,51.0155
48,38.3037,40.3045,38.0182,32.5023
66,49.0286,49.6391,46.7261,40.0016
74,61.5891,60.9115,59.1298,53.4725
70,68.2119,66.9762,67.1509,63.8469
51,65.5401,65.1539,67.4645,67.2492
82,62.0518,60.7393,58.5271,51.8745
42,63.7649,64.1203,66.6643,67.8857
53,56.9409,56.9139,57.8435,55.5166
82,55.7427,55.2808,51.5057,44.0615
62,67.1825,66.5088,67.1105,65.8957
67,66.6327,65.4685,66.1051,63.9873
52,61.9347,62.0012,63.174,62.8678
50,56.9003,57.3087,58.1015,57.0178
41,50.9434,52.3287,53.0266,52.4997
31,45.0708,47.2081,48.2917,48.3933
50,40.9412,42.6274,40.786,36.7843
48,46.086,47.9242,46.7762,44.6507
62,52.664,53.148,51.5219,47.996
38,54.3683,55.7889,57.2342,58.7495
72,53.1413,52.9166,50.4445,45.0789
59,59.0218,59.4518,58.8531,58.0011
83,65.6927,64.1693,62.2672,58.1988
58,68.1304,67.5234,68.7014,70.3071
29,59.6199,60.4643,64.5514,69.2281
37,42.9056,44.7133,45.117,44.2578
65,42.0153,43.5282,39.9353,34.8172
51,54.518,55.6794,55.4189,55.7515
59,57.213,57.3363,57.0012,55.9099
56,56.4483,57.0252,56.6473,56.3931
94,62.9529,61.4264,57.5134,51.6687
40,68.7045,68.6835,72.0255,78.276
40,56.85,57.1542,59.9196,62.0229
72,47.586,48.2585,44.8014,39.9397
60,59.427,59.8541,59.2216,59.8712
63,62.9417,62.4189,62.4825,62.812
58,60.5067,60.5802,60.6568,61.645
56,58.9404,59.144,59.3382,60.252
57,57.0139,57.4047,57.1563,57.5512
79,60.1881,59.5321,57.034,54.2548
